fid,plot_id,habitat_type,notes,other_note,timestamp,site_id,distance_level,transect_id,garmin_elevation,type,u2018_clc2018_v2020_20u1,landcover,id.1,elevation,lab_id,priority,n,c,k,p,mg,ca,na,units,ecec,base_saturation,exchange_acidity,al,mountain_or_enclosure,id.2,hand,x,y,flag,distance_enclosure,tier,distance_enclosure_scaled,elevation_scaled,hand_scaled,enclosure_name,enclosure_age,deer_number,area_ha,deer_density,deer_density_scaled,deer_number_scaled,enclosure_age_scaled,min_dist_enclosure,min_dist_enclosure_scaled,transect_start_elevation,elevation_rel_enc,cn,np,elevation_rel_enc_scaled,soilTypeLegendL,soilTypeLegendK,deadWoodChangeYear,deadWoodNotBefore,deadWoodNotAfter,deadWood,soilTypeLegendK_scaled,deadWoodChangeYear_scaled,deadWood_scaled
56,A1_1,Open,Looks like lawn,"",2023/05/21 13:43:04.063,A,0,A1,,Vegetation,25,Mixed_Forest,1,760.45263671875,1,1,3.42,46.47,23.05609983,2.693972053,1.342224472,1.869019771,0.002324214,"K, P, Mg, Ca and Na are mg/g dry weight; N and C is %",,,,,Enclosure,1,0,13.2912701977603,49.0660918119204,ok,-100,Enclosures,-0.981213319191702,-0.988854642511838,-1.21446291380296,Ahornschachten,30,31,28.8821398272658,1.07332767535232,-0.998657697717045,-1.3601906440758,-1.05421587129996,0,-0.906551274139096,760.45263671875,0,13.5877192982456,1.26950092009733,-0.0869031565245365,"Bodenkomplex: Vorherrschend Gley und Anmoorgley, gering verbreitet Moorgley aus (Kryo-)Sandschutt (Granit oder Gneis),selten Niedermoor aus Torf",75c,2021,2021-06-14,2022-06-27,Deadwood,75c,1.97376367451512,Deadwood
56,A1_1,Open,Looks like lawn,"",2023/05/21 13:43:04.063,A,0,A1,,Vegetation,25,Mixed_Forest,1,760.45263671875,1,1,3.42,46.47,23.05609983,2.693972053,1.342224472,1.869019771,0.002324214,"K, P, Mg, Ca and Na are mg/g dry weight; N and C is %",,,,,Enclosure,1,0,13.2912701977603,49.0660918119204,ok,-100,Enclosures,-0.981213319191702,-0.988854642511838,-1.21446291380296,Ahornschachten,30,31,28.8821398272658,1.07332767535232,-0.998657697717045,-1.3601906440758,-1.05421587129996,0,-0.906551274139096,760.45263671875,0,13.5877192982456,1.26950092009733,-0.0869031565245365,"Bodenkomplex: Vorherrschend Gley und Anmoorgley, gering verbreitet Moorgley aus (Kryo-)Sandschutt (Granit oder Gneis),selten Niedermoor aus Torf",75c,2021,2021-06-14,2022-06-27,Deadwood,75c,1.97376367451512,Deadwood
55,A1_2,Coniferous,"","",2023/05/21 13:26:38.716,A,1,A1,,Vegetation,25,Mixed_Forest,2,793.914245605469,2,1,3.59,42.13,27.58756336,3.130853183,0.937672445,1.456928167,-0.022374341,"K, P, Mg, Ca and Na are mg/g dry weight; N and C is %",,,,,Enclosure,2,51,13.2934966666667,49.0676716666667,ok,100,Enclosures,-0.750339597028949,-0.831250479939234,-0.637124295880899,Ahornschachten,30,31,28.8821398272658,1.07332767535232,-0.998657697717045,-1.3601906440758,-1.05421587129996,147.6619794531,-0.729341301006953,760.45263671875,33.461608886719,11.7353760445682,1.14665229896218,0.355985364270748,"Vorherrschend Braunerde, gering verbreitet Podsol-Braunerde und Lockerbraunerde aus (Kryo-)Sandschutt bis Sandgrus (Granit oder Gneis)",711,1980,,,No deadwood,711,-0.794358122346278,No deadwood
55,A1_2,Coniferous,"","",2023/05/21 13:26:38.716,A,1,A1,,Vegetation,25,Mixed_Forest,2,793.914245605469,2,1,3.59,42.13,27.58756336,3.130853183,0.937672445,1.456928167,-0.022374341,"K, P, Mg, Ca and Na are mg/g dry weight; N and C is %",,,,,Enclosure,2,51,13.2934966666667,49.0676716666667,ok,100,Enclosures,-0.750339597028949,-0.831250479939234,-0.637124295880899,Ahornschachten,30,31,28.8821398272658,1.07332767535232,-0.998657697717045,-1.3601906440758,-1.05421587129996,147.6619794531,-0.729341301006953,760.45263671875,33.461608886719,11.7353760445682,1.14665229896218,0.355985364270748,"Vorherrschend Braunerde, gering verbreitet Podsol-Braunerde und Lockerbraunerde aus (Kryo-)Sandschutt bis Sandgrus (Granit oder Gneis)",711,1980,,,No deadwood,711,-0.794358122346278,No deadwood
54,A1_3,Deciduous_Forest,Very close to road; soil 20m deeper in forest,"",2023/05/21 13:11:08.972,A,2,A1,,Vegetation,25,Mixed_Forest,3,816.084350585938,3,3,3.83,44.93,28.93224536,2.949509315,1.292076979,1.664622252,-0.036333101,"K, P, Mg, Ca and Na are mg/g dry weight; N and C is %",,,,,Enclosure,3,20,13.297315,49.0729283333333,exclude,900,Enclosures,0.173155291622065,-0.726829295607587,-0.988055612657051,Ahornschachten,30,31,28.8821398272658,1.07332767535232,-0.998657697717045,-1.3601906440758,-1.05421587129996,739.554029639505,-0.0190083182097373,760.45263671875,55.631713867188,11.7310704960836,1.29852107281784,0.649422689233721,"Vorherrschend Braunerde, gering verbreitet Podsol-Braunerde und Lockerbraunerde aus (Kryo-)Sandschutt bis Sandgrus (Granit oder Gneis)",711,1980,,,No deadwood,711,-0.794358122346278,No deadwood
54,A1_3,Deciduous_Forest,Very close to road; soil 20m deeper in forest,"",2023/05/21 13:11:08.972,A,2,A1,,Vegetation,25,Mixed_Forest,3,816.084350585938,3,3,3.83,44.93,28.93224536,2.949509315,1.292076979,1.664622252,-0.036333101,"K, P, Mg, Ca and Na are mg/g dry weight; N and C is %",,,,,Enclosure,3,20,13.297315,49.0729283333333,exclude,900,Enclosures,0.173155291622065,-0.726829295607587,-0.988055612657051,Ahornschachten,30,31,28.8821398272658,1.07332767535232,-0.998657697717045,-1.3601906440758,-1.05421587129996,739.554029639505,-0.0190083182097373,760.45263671875,55.631713867188,11.7310704960836,1.29852107281784,0.649422689233721,"Vorherrschend Braunerde, gering verbreitet Podsol-Braunerde und Lockerbraunerde aus (Kryo-)Sandschutt bis Sandgrus (Granit oder Gneis)",711,1980,,,No deadwood,711,-0.794358122346278,No deadwood
53,A1_4,Mixed_Forest,Very close to road,"",2023/05/21 11:58:07.819,A,3,A1,,Vegetation,25,Mixed_Forest,4,951.145751953125,4,3,3.66,42.61,41.84567765,6.493080771,1.802248078,3.250215778,0.044250372,"K, P, Mg, Ca and Na are mg/g dry weight; N and C is %",,,,,Enclosure,4,43,13.3001283333333,49.081405,exclude,2100,Enclosures,1.55839762459859,-0.0906901568584483,-0.727687216339261,Ahornschachten,30,31,28.8821398272658,1.07332767535232,-0.998657697717045,-1.3601906440758,-1.05421587129996,1703.29742172146,1.13758555415785,760.45263671875,190.693115234375,11.6420765027322,0.56367695537481,2.4370577210864,"Bodenkomplex: Vorherrschend Lockerbraunerde und Braunerde (podsolig, humusreich), gering verbreitet Felshumusboden und Ranker aus blockführendem (Kryo-)Schutt (Granit oder Gneis)",701,1980,,,No deadwood,701,-0.794358122346278,No deadwood
53,A1_4,Mixed_Forest,Very close to road,"",2023/05/21 11:58:07.819,A,3,A1,,Vegetation,25,Mixed_Forest,4,951.145751953125,4,3,3.66,42.61,41.84567765,6.493080771,1.802248078,3.250215778,0.044250372,"K, P, Mg, Ca and Na are mg/g dry weight; N and C is %",,,,,Enclosure,4,43,13.3001283333333,49.081405,exclude,2100,Enclosures,1.55839762459859,-0.0906901568584483,-0.727687216339261,Ahornschachten,30,31,28.8821398272658,1.07332767535232,-0.998657697717045,-1.3601906440758,-1.05421587129996,1703.29742172146,1.13758555415785,760.45263671875,190.693115234375,11.6420765027322,0.56367695537481,2.4370577210864,"Bodenkomplex: Vorherrschend Lockerbraunerde und Braunerde (podsolig, humusreich), gering verbreitet Felshumusboden und Ranker aus blockführendem (Kryo-)Schutt (Granit oder Gneis)",701,1980,,,No deadwood,701,-0.794358122346278,No deadwood
57,A2_1,Open,"
Close to building","",2023/05/21 14:04:22.319,A,0,A2,,Vegetation,24,Coniferous_forest,5,727.751037597656,5,1,3.84,42.53,35.25896921,4.018099973,1.392440171,3.858053905,-0.003244176,"K, P, Mg, Ca and Na are mg/g dry weight; N and C is %",,,,,Enclosure,5,24,13.29113,49.0607516666667,ok,-100,Enclosures,-0.981213319191702,-1.14287915943549,-0.94277415242787,Ahornschachten,30,31,28.8821398272658,1.07332767535232,-0.998657697717045,-1.3601906440758,-1.05421587129996,0,-0.906551274139096,727.751037597656,0,11.0755208333333,0.955675574476305,-0.0869031565245365,"Vorherrschend Braunerde, gering verbreitet Podsol-Braunerde und Lockerbraunerde aus (Kryo-)Sandschutt bis Sandgrus (Granit oder Gneis)",711,1980,,,No deadwood,711,-0.794358122346278,No deadwood
57,A2_1,Open,"
Close to building","",2023/05/21 14:04:22.319,A,0,A2,,Vegetation,24,Coniferous_forest,5,727.751037597656,5,1,3.84,42.53,35.25896921,4.018099973,1.392440171,3.858053905,-0.003244176,"K, P, Mg, Ca and Na are mg/g dry weight; N and C is %",,,,,Enclosure,5,24,13.29113,49.0607516666667,ok,-100,Enclosures,-0.981213319191702,-1.14287915943549,-0.94277415242787,Ahornschachten,30,31,28.8821398272658,1.07332767535232,-0.998657697717045,-1.3601906440758,-1.05421587129996,0,-0.906551274139096,727.751037597656,0,11.0755208333333,0.955675574476305,-0.0869031565245365,"Vorherrschend Braunerde, gering verbreitet Podsol-Braunerde und Lockerbraunerde aus (Kryo-)Sandschutt bis Sandgrus (Granit oder Gneis)",711,1980,,,No deadwood,711,-0.794358122346278,No deadwood
