"","detection_history.day1_day3","detection_history.day4_day6","detection_history.day7_day9","detection_history.day10_day12","detection_history.day13_day15","detection_history.day16_day18","detection_history.day19_day21","detection_history.day22_day24","detection_history.day25_day27","detection_history.day28_day30","detection_history.day31_day33","detection_history.day34_day36","detection_history.day37_day39","detection_history.day40_day42","detection_history.day43_day45","detection_history.day46_day48","detection_history.day49_day51","detection_history.day52_day54","detection_history.day55_day57","detection_history.day58_day60","detection_history.day61_day63","detection_history.day64_day66","detection_history.day67_day69","detection_history.day70_day72","detection_history.day73_day75","detection_history.day76_day78","detection_history.day79_day81","detection_history.day82_day84","detection_history.day85_day87","detection_history.day88_day90","detection_history.day91_day93","detection_history.day94_day96","detection_history.day97_day99","detection_history.day100_day102","detection_history.day103_day105","detection_history.day106_day108","detection_history.day109_day111","detection_history.day112_day114","detection_history.day115_day117","detection_history.day118_day120","detection_history.day121_day123","detection_history.day124_day126","detection_history.day127_day129","detection_history.day130_day132","detection_history.day133_day135","detection_history.day136_day138","detection_history.day139_day141","detection_history.day142_day144","detection_history.day145_day147","detection_history.day148_day150","detection_history.day151_day153","detection_history.day154_day156","detection_history.day157_day159","detection_history.day160_day162","detection_history.day163_day165","detection_history.day166_day168","detection_history.day169_day169","effort.day1_day3","effort.day4_day6","effort.day7_day9","effort.day10_day12","effort.day13_day15","effort.day16_day18","effort.day19_day21","effort.day22_day24","effort.day25_day27","effort.day28_day30","effort.day31_day33","effort.day34_day36","effort.day37_day39","effort.day40_day42","effort.day43_day45","effort.day46_day48","effort.day49_day51","effort.day52_day54","effort.day55_day57","effort.day58_day60","effort.day61_day63","effort.day64_day66","effort.day67_day69","effort.day70_day72","effort.day73_day75","effort.day76_day78","effort.day79_day81","effort.day82_day84","effort.day85_day87","effort.day88_day90","effort.day91_day93","effort.day94_day96","effort.day97_day99","effort.day100_day102","effort.day103_day105","effort.day106_day108","effort.day109_day111","effort.day112_day114","effort.day115_day117","effort.day118_day120","effort.day121_day123","effort.day124_day126","effort.day127_day129","effort.day130_day132","effort.day133_day135","effort.day136_day138","effort.day139_day141","effort.day142_day144","effort.day145_day147","effort.day148_day150","effort.day151_day153","effort.day154_day156","effort.day157_day159","effort.day160_day162","effort.day163_day165","effort.day166_day168","effort.day169_day169"
"WTM_BYW001_23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,3,3,3,3,3,3,3,3,3,3,3,3,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.5
"WTM_BYW002_23",0,0,0,0,0,0,0,1,0,0,0,0,2,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,3,3,3,3,3,3,3,3,3,3,3,3,2,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.5
"WTM_BYW004_23",0,0,0,0,0,NA,NA,NA,0,1,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,3,3,2,2,NA,NA,NA,1,3,3,3,3,3,3,3,3,3,NA,2,3,3,3,3,3,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WTM_BYW005_23",0,0,0,0,0,0,0,3,2,2,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.5,3,3,3,3,3,3,3,3,3,3,3,3,2,1,NA,NA,3,3,3,3,3,1,1,3,3,1,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.5
"WTM_BYW007_23",0,0,1,0,0,1,0,0,1,2,3,5,3,3,5,NA,NA,NA,0,NA,0,0,0,NA,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,NA,0,NA,NA,0,0,0,1,1,0,0,0,0,0,1,0,1,0,2.5,3,3,3,3,3,3,3,3,3,3,3,3,3,2,NA,NA,NA,2,NA,1,3,1,NA,1,1,3,3,3,3,2,NA,2,NA,NA,3,3,1,1,NA,1,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,0.5
"WTM_BYW009_23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,NA,NA,NA,NA,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.5
"WTM_BYW010_23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,3,3,3,3,3,3,3,3,3,3,3,3,2,NA,NA,NA,NA,2,3,3,3,3,3,3,3,3,3,3,3,2,NA,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.5
"WTM_BYW011_23",0,1,0,0,3,0,0,0,0,0,0,2,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,1,1,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,3,3,3,3,3,3,3,3,3,3,3,3,3,1,NA,NA,NA,NA,NA,2,3,3,NA,3,3,3,3,3,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WTM_BYW013_23",0,0,0,0,0,0,2,0,1,0,5,2,0,2,NA,NA,NA,NA,0,0,2,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,3,3,3,3,3,3,3,3,3,3,3,3,2,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WTM_BYW014_23",0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,3,3,3,3,3,3,3,3,3,3,1,3,2,NA,NA,NA,NA,NA,1,3,3,2,NA,3,3,3,3,NA,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.5
