Lab_ID,Priority,Plot_ID,N,C
1,1,A1_1,3.42,46.47
2,1,A1_2,3.59,42.13
3,3,A1_3,3.83,44.93
4,3,A1_4,3.66,42.61
5,1,A2_1,3.84,42.53
6,3,A2_2,3.28,43.49
7,3,A2_3,2.93,42.50
8,1,A2_4,4.02,43.50
9,1,A3_1,3.84,42.40
10,1,A3_2,2.87,44.11
11,3,A3_3,3.18,44.18
12,1,A3_4,3.24,43.85
13,1,A4_1,4.55,42.87
14,1,A4_2,3.30,42.72
15,3,A4_3,3.81,42.84
16,1,A4_4,3.43,43.66
17,1,B1_1,4.38,41.45
18,1,B1_2,4.34,42.34
19,3,B1_3,4.04,42.33
20,3,B1_4,3.48,42.74
21,1,B2_1,4.98,42.34
22,1,B2_2,3.36,42.76
23,3,B2_3,3.38,42.90
24,1,B2_4,3.15,44.07
25,1,B3_1,3.67,43.57
26,1,B3_2,3.62,43.21
27,3,B3_3,3.08,43.69
28,1,B3_4,3.33,43.17
29,1,B4_1,3.62,42.26
30,3,B4_2,3.13,40.79
31,3,B4_3,3.55,43.44
32,1,B4_4,3.16,43.47
33,1,C1_1,3.67,42.19
34,1,C1_2,2.81,42.77
35,3,C1_3,2.96,43.28
36,1,C1_4,2.96,43.11
37,1,C2_1,3.99,42.50
38,1,C2_2,3.42,42.59
39,3,C2_3,2.51,42.82
40,1,C2_4,3.06,43.07
41,1,C3_1,3.71,42.89
42,1,C3_2,3.29,42.40
43,3,C3_3,2.90,41.83
44,1,C3_4,2.83,43.08
45,1,C4_1,3.89,41.81
46,1,C4_2,3.16,42.72
47,3,C4_3,2.73,43.82
48,3,C4_4,3.25,43.07
49,1,D1_1,3.77,43.23
50,1,D1_2,4.17,43.38
51,3,D1_3,4.15,44.06
52,1,D1_4,4.06,42.15
53,1,D2_1,4.01,43.10
54,3,D2_2,3.03,42.34
55,3,D2_3,2.80,42.98
56,1,D2_4,3.74,43.59
57,1,D3_1,3.81,42.69
58,1,D3_2,3.59,43.54
59,3,D3_3,2.68,36.88
60,1,D3_4,3.67,43.80
61,1,D4_1,3.54,43.53
62,1,D4_2,4.12,42.93
63,3,D4_3,3.23,43.36
64,1,D4_4,2.55,42.20
65,2,MA_T_1,3.74,43.61
66,2,MA_T_2,3.90,44.37
67,2,MA_T_3,3.77,43.94
68,2,MA_T_4,4.25,44.41
69,2,MA_C_1,3.59,44.37
70,2,MA_C_2,2.69,45.24
71,2,MA_C_3,3.78,44.49
72,2,MA_C_4,4.12,44.93
73,2,MD_T_1,4.24,44.53
74,2,MD_T_2,4.66,42.82
75,2,MD_T_3,4.31,44.13
76,2,MD_T_4,4.11,44.52
77,2,MD_C_1,3.39,44.02
78,2,MD_C_2,3.91,44.17
79,2,MD_C_3,4.10,44.42
80,2,MD_C_4,3.73,43.53
81,2,MB-T-1,3.86,44.57
82,2,MB-T-2,3.99,44.61
83,2,MB-T-3,3.83,44.22
84,2,MB-T-4,4.33,43.86
85,2,MB-C-1,3.79,44.04
86,2,MB-C-2,3.74,44.63
87,2,MB-C-3,3.60,44.54
88,2,MB-C-4,3.74,44.08
89,2,MC-T-1,3.32,43.21
90,2,MC-T-2,3.82,42.92
91,2,MC-T-3,3.87,43.98
92,2,MC-T-4,4.38,43.46
93,2,MC-C-1,3.83,43.83
94,2,MC-C-2,3.87,43.95
95,2,MC-C-3,3.18,43.99
96,2,MC-C-4,4.38,45.33
