Plot_ID,Exchange_Acidity,Exchang_Al,Exchange_Mg,Exchange_Ca,Exchange_Na,Exchange_K,ECEC,Base_saturation,P         ,N,C
A1_1,1.321,0.722,3.5940,6.7503,0.0464,0.3538,12.066,89.05,68.523,0.54,8.30
A1_2,9.626,10.422,1.0932,1.5454,0.0689,0.5960,12.929,25.55,10.104,1.01,18.22
A1_3,12.584,9.297,0.5448,0.3409,0.0407,0.4667,13.978,9.97,11.154,0.84,15.48
A1_4,3.635,4.126,0.2728,0.4343,0.0274,0.1890,4.559,20.26,20.674,0.23,3.58
A2_1,0.440,0.129,0.7220,5.2335,0.0095,0.6544,7.060,93.76,51.706,0.31,3.82
A2_2,6.058,6.114,0.5431,0.7914,0.0475,0.5094,7.950,23.79,13.394,0.48,7.46
A2_3,9.664,7.912,0.3251,0.4928,0.0343,0.2176,10.734,9.97,12.134,0.38,7.67
A2_4,2.989,2.357,1.9975,8.1281,0.0274,0.5363,13.678,78.15,25.079,0.84,15.13
A3_1,5.615,3.715,1.6690,5.1602,0.0591,0.7995,13.303,57.79,29.384,0.76,16.02
A3_2,10.956,6.869,1.0416,2.8523,0.0460,0.4819,15.378,28.75,30.184,1.32,29.02
A3_3,10.762,9.257,0.4704,0.8435,0.0571,0.4603,12.594,14.54,8.984,0.92,17.32
A3_4,11.742,3.843,2.0883,6.2501,0.0644,1.1016,21.247,44.73,72.627,1.68,39.97
A4_1,10.813,6.945,0.7670,1.2771,0.0263,0.4820,13.366,19.10,18.224,0.79,15.68
A4_2,1.122,0.321,2.0811,8.9491,0.0432,0.8626,13.058,91.40,40.895,0.65,13.53
A4_3,7.460,4.173,1.3387,4.6213,0.0553,0.5676,14.043,46.88,16.754,0.71,12.84
A4_4,8.662,6.437,1.0020,2.0445,0.0299,0.5998,12.339,29.79,13.254,0.63,10.32
B1_1,5.162,2.070,4.7688,7.6806,0.0457,3.2022,20.859,75.25,58.813,2.41,37.79
B1_2,14.656,12.477,0.5722,0.7658,0.0238,0.3007,16.318,10.19,44.799,0.40,6.87
